Fit FA02

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
 1360.00 -0.3068E+00  0.1168E+01  0.0000E+00  0.0000E+00
 1380.00 -0.3342E+00  0.1158E+01  0.0000E+00  0.0000E+00
 1400.00 -0.3569E+00  0.1146E+01  0.0000E+00  0.0000E+00
 1420.00 -0.3752E+00  0.1132E+01  0.0000E+00  0.0000E+00
 1440.00 -0.3893E+00  0.1117E+01  0.0000E+00  0.0000E+00
 1460.00 -0.3995E+00  0.1102E+01  0.0000E+00  0.0000E+00
 1480.00 -0.4065E+00  0.1088E+01  0.0000E+00  0.0000E+00
 1500.00 -0.4105E+00  0.1074E+01  0.0000E+00  0.0000E+00
 1520.00 -0.4120E+00  0.1062E+01  0.0000E+00  0.0000E+00
 1540.00 -0.4113E+00  0.1050E+01  0.0000E+00  0.0000E+00
 1560.00 -0.4088E+00  0.1040E+01  0.0000E+00  0.0000E+00
 1580.00 -0.4048E+00  0.1031E+01  0.0000E+00  0.0000E+00
 1600.00 -0.3995E+00  0.1024E+01  0.0000E+00  0.0000E+00
 1620.00 -0.3931E+00  0.1018E+01  0.0000E+00  0.0000E+00
 1640.00 -0.3858E+00  0.1013E+01  0.0000E+00  0.0000E+00
 1660.00 -0.3778E+00  0.1009E+01  0.0000E+00  0.0000E+00
 1680.00 -0.3691E+00  0.1006E+01  0.0000E+00  0.0000E+00
 1700.00 -0.3601E+00  0.1005E+01  0.0000E+00  0.0000E+00
 1720.00 -0.3506E+00  0.1005E+01  0.0000E+00  0.0000E+00
 1740.00 -0.3409E+00  0.1005E+01  0.0000E+00  0.0000E+00
 1760.00 -0.3309E+00  0.1007E+01  0.0000E+00  0.0000E+00
 1780.00 -0.3209E+00  0.1010E+01  0.0000E+00  0.0000E+00
 1800.00 -0.3108E+00  0.1014E+01  0.0000E+00  0.0000E+00
 1820.00 -0.3006E+00  0.1018E+01  0.0000E+00  0.0000E+00
 1840.00 -0.2906E+00  0.1024E+01  0.0000E+00  0.0000E+00
 1860.00 -0.2806E+00  0.1030E+01  0.0000E+00  0.0000E+00
 1880.00 -0.2707E+00  0.1037E+01  0.0000E+00  0.0000E+00
 1900.00 -0.2610E+00  0.1045E+01  0.0000E+00  0.0000E+00
 1920.00 -0.2514E+00  0.1053E+01  0.0000E+00  0.0000E+00
 1940.00 -0.2421E+00  0.1063E+01  0.0000E+00  0.0000E+00
 1960.00 -0.2329E+00  0.1072E+01  0.0000E+00  0.0000E+00
 1980.00 -0.2240E+00  0.1083E+01  0.0000E+00  0.0000E+00
 2000.00 -0.2154E+00  0.1094E+01  0.0000E+00  0.0000E+00

   PI-P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
    1.00  0.1597E+00  0.2480E-02  0.0000E+00  0.0000E+00
    6.00  0.1402E+00  0.8810E-02  0.0000E+00  0.0000E+00
   11.00  0.1375E+00  0.1198E-01  0.0000E+00  0.0000E+00
   16.00  0.1376E+00  0.1458E-01  0.0000E+00  0.0000E+00
   21.00  0.1395E+00  0.1706E-01  0.0000E+00  0.0000E+00
   26.00  0.1427E+00  0.1963E-01  0.0000E+00  0.0000E+00
   31.00  0.1472E+00  0.2242E-01  0.0000E+00  0.0000E+00
   36.00  0.1527E+00  0.2555E-01  0.0000E+00  0.0000E+00
   41.00  0.1594E+00  0.2912E-01  0.0000E+00  0.0000E+00
   46.00  0.1671E+00  0.3324E-01  0.0000E+00  0.0000E+00
   51.00  0.1758E+00  0.3802E-01  0.0000E+00  0.0000E+00
   56.00  0.1855E+00  0.4359E-01  0.0000E+00  0.0000E+00
   61.00  0.1961E+00  0.5007E-01  0.0000E+00  0.0000E+00
   66.00  0.2077E+00  0.5763E-01  0.0000E+00  0.0000E+00
   71.00  0.2201E+00  0.6640E-01  0.0000E+00  0.0000E+00
   76.00  0.2333E+00  0.7659E-01  0.0000E+00  0.0000E+00
   81.00  0.2472E+00  0.8839E-01  0.0000E+00  0.0000E+00
   86.00  0.2616E+00  0.1020E+00  0.0000E+00  0.0000E+00
   91.00  0.2766E+00  0.1178E+00  0.0000E+00  0.0000E+00
   96.00  0.2915E+00  0.1359E+00  0.0000E+00  0.0000E+00
  101.00  0.3062E+00  0.1564E+00  0.0000E+00  0.0000E+00
  106.00  0.3202E+00  0.1797E+00  0.0000E+00  0.0000E+00
  111.00  0.3331E+00  0.2060E+00  0.0000E+00  0.0000E+00
