Measurement			
2			
Q2			
1.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.025	0.00952	0.000873	0.001487
0.025	0.008731	0.000853	0.001485
0.075	0.008885	0.000831	0.001537
0.125	0.006978	0.00074	0.001538
0.175	0.005726	0.000666	0.001531
0.225	0.009329	0.000889	0.001641
0.275	0.009624	0.000925	0.001738
0.325	0.009384	0.000942	0.001764
0.375	0.011582	0.001125	0.001891
0.425	0.009361	0.001017	0.001835
0.475	0.010731	0.001236	0.001924
0.525	0.010902	0.001166	0.001966
0.575	0.010474	0.001166	0.001987
0.625	0.009593	0.001117	0.001995
0.675	0.012849	0.001337	0.002163
End			
Measurement			
10			
Q2			
2.8			
W			
1.73			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001339
-0.925	0	0	0.001379
-0.875	0	0	0.001417
-0.825	0	0	0.001456
-0.775	0	0	0.001497
-0.725	0.009717	0.002841	0.001578
-0.675	0.01033	0.001688	0.001635
-0.625	0.009153	0.001319	0.001668
-0.575	0.010693	0.001229	0.001715
-0.525	0.011795	0.001347	0.001764
-0.475	0.010875	0.001185	0.001814
-0.425	0.013158	0.001221	0.001895
-0.375	0.010612	0.001042	0.001932
-0.325	0.012156	0.001084	0.002002
-0.275	0.016967	0.001229	0.002313
-0.225	0.01373	0.001094	0.002117
-0.175	0.01591	0.0012	0.002198
-0.125	0.013113	0.001101	0.002228
-0.075	0.012661	0.001092	0.002285
-0.025	0.014039	0.001083	0.002368
0.025	0.01665	0.001188	0.002483
0.075	0.012984	0.001062	0.002497
0.125	0.0129	0.001041	0.00256
0.175	0.01549	0.00107	0.002664
0.225	0.015308	0.001045	0.002726
0.275	0.014941	0.001064	0.002788
0.325	0.017844	0.00122	0.002904
0.375	0.017136	0.001267	0.002957
0.425	0.017536	0.001385	0.00303
0.475	0.019132	0.001461	0.003123
0.525	0.019293	0.001558	0.003192
0.575	0.020756	0.001618	0.003289
0.625	0.021224	0.001641	0.003371
0.675	0.023713	0.001771	0.003493
End			
Measurement			
11			
Q2			
2.8			
W			
2.02			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001701
-0.925	0	0	0.001751
-0.875	0	0	0.0018
-0.825	0	0	0.001849
-0.775	0	0	0.001901
-0.725	0.012411	0.00555	0.002093
-0.675	0.008117	0.001826	0.002075
-0.625	0.010234	0.001277	0.002164
-0.575	0.012295	0.001238	0.002212
-0.525	0.014109	0.001164	0.002258
-0.475	0.016702	0.001181	0.002323
-0.425	0.016711	0.001085	0.002377
-0.375	0.018844	0.001082	0.002509
-0.325	0.018004	0.000982	0.002512
-0.275	0.017832	0.000957	0.002581
-0.225	0.0182	0.000998	0.002647
-0.175	0.019227	0.001042	0.002712
-0.125	0.018227	0.000978	0.002784
-0.075	0.019106	0.001024	0.002874
-0.025	0.020063	0.001042	0.002958
0.025	0.021855	0.001106	0.003036
0.075	0.022452	0.001094	0.003109
0.125	0.020042	0.001001	0.003171
0.175	0.022976	0.001095	0.003262
0.225	0.022791	0.00107	0.003349
0.275	0.023151	0.001054	0.003438
0.325	0.023118	0.001035	0.003525
0.375	0.02546	0.001111	0.003623
0.425	0.025728	0.001211	0.003711
0.475	0.029011	0.001333	0.003846
0.525	0.029936	0.001459	0.003969
0.575	0.030956	0.001556	0.004104
0.625	0.032035	0.001539	0.004247
0.675	0.036416	0.001687	0.004828
End			
Measurement			
12			
Q2			
2.8			
W			
2.4			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.002381
-0.925	0	0	0.002452
-0.875	0	0	0.002521
-0.825	0	0	0.002589
-0.775	0	0	0.002662
-0.725	0	0	0.002745
-0.675	0.012783	0.012783	0.003053
-0.625	0.007744	0.0044	0.002991
-0.575	0.013006	0.003695	0.00321
-0.525	0.020253	0.003343	0.00357
-0.475	0.022657	0.002594	0.003587
-0.425	0.025125	0.002198	0.003683
-0.375	0.023428	0.001898	0.003707
-0.325	0.024508	0.001722	0.003792
-0.275	0.026646	0.001612	0.003867
-0.225	0.027852	0.001539	0.003947
-0.175	0.02748	0.001469	0.004031
-0.125	0.028276	0.00142	0.004138
-0.075	0.031787	0.001429	0.004455
-0.025	0.032688	0.001339	0.00456
0.025	0.033849	0.001273	0.004708
0.075	0.035534	0.001314	0.004929
0.125	0.034715	0.001238	0.004802
0.175	0.036565	0.001196	0.00505
0.225	0.038817	0.001165	0.005359
0.275	0.041943	0.00117	0.005793
0.325	0.04415	0.001123	0.006097
0.375	0.044538	0.001076	0.006151
0.425	0.045123	0.001036	0.006232
0.475	0.048278	0.001076	0.006667
0.525	0.04988	0.001118	0.006889
0.575	0.054172	0.001257	0.007482
0.625	0.052621	0.001302	0.007267
0.675	0.055093	0.001415	0.007609
End			
Measurement			
14			
Q2			
1.8			
W			
1.25			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000671
-0.925	0	0	0.00069
-0.875	0	0	0.00071
-0.825	0.005368	0.002401	0.000849
-0.775	0.00734	0.002145	0.001124
-0.725	0.006736	0.001868	0.001032
-0.675	0.009567	0.001875	0.001533
-0.625	0.006471	0.001568	0.001057
-0.575	0.006075	0.001442	0.001016
-0.525	0.009805	0.002169	0.001586
-0.475	0.006808	0.001714	0.001106
-0.425	0.009773	0.001968	0.00165
-0.375	0.006692	0.001752	0.001249
-0.325	0.005857	0.001356	0.001208
-0.275	0.008391	0.001863	0.001456
-0.225	0.008909	0.001804	0.001517
-0.175	0.012271	0.002169	0.002121
-0.125	0.009932	0.001943	0.001742
-0.075	0.009442	0.001775	0.001682
-0.025	0.011949	0.002085	0.002137
0.025	0.014801	0.002465	0.002629
0.075	0.013857	0.002157	0.002396
0.125	0.013633	0.002541	0.00225
0.175	0.020072	0.003421	0.003281
0.225	0.014791	0.003041	0.002483
0.275	0.016285	0.003983	0.00277
0.325	0.012199	0.002994	0.002075
0.375	0.01379	0.003504	0.002346
0.425	0.022794	0.004464	0.003877
0.475	0.015193	0.003516	0.002584
0.525	0.015639	0.003808	0.00266
0.575	0.018806	0.004205	0.003199
0.625	0.015329	0.004143	0.002607
